Company Name
Evviva,USA
Craft Innovations
The Brand Consultancy
Numerator
Westat
The NPD Group
Tenet Partners
SGS SA
Roper Center for Public Opinion Research
Big Village
Nielsen
Mintel
Kantar
JD Power
Circana
Ipsos
Intage
GfK
Gartner
Frost & Sullivan
Forrester Research
Euromonitor International
Dynata
Colliers International
BCC Research
N/A
"Just The Facts, Inc."
C+R Research
Savanta
Provoke Insights
"Curion, LLC"
"Gold Research, Inc."
QualSights
Zoho Survey
CATALYSTMR
B2B International
Fieldwork Network
Insights in Marketing
InnovateMR
"Opinions, Ltd. - Headquarters"
"Precision Research, Inc."
Geo Strategy Partners
Bellomy Research
"Olson Research Group, Inc."
The Directions Group
Explorer Research
Marketking,EGYPT,
intotheminds,FRANCE
sparsis,ARMENIA
BlancaEstudio,CHILE
Yalla Cooperative,UK
Inbound Value,FRANCE
Daccel,SERBIA
fffunction studio,NETHERLANDS
Amoeba Labs ,NEPAL
Storyfolk,AUSTRALIA
Rare Ideas,INDIA
Arlette Agency,FRANCE
Craster,Spain
Cinethic,FRANCE
Flying Saucer by iytro,FRANCE
Matheus Consultancy,UK
Sparsis,ARMENIA
Toolbox Marketing consulting,EGYPT
Adswell,EGYPT
Comtogether,SWITZERLAND
Unlock Management,Spain
Linney,UK
Webeing,ITALY
Sugi Research,FRANCE
Reux Digital,SPAIN 
Just Like U,BELGIUM
Rhilane Marketing Digital,MOROCCO
12AM Projects,UK
Labbrang Malaysia,MALAYSIA
Redkiwi,NETHERLANDS
Hy Marketing,SOUTH AFRICA
Trein,ITALY
Comunicare Marketing 360,SPAIN
Robler,SPAIN 
Agence Thrive,FRANCE
deBottomLine,BELGIUM
MKI-global,FRANCE
URALA International,JAPAN
Research Network,SINGAPORE
BrandIQ,USA
Cypher Research,USA
Probe MKT Research LLC,USA
Corona Insights,USA
Ascendant Consulting Firm,USA
Rival Technologies,USA
CleverX,USA
Azurite Consulting,USA
Leede Research,USA
BestMark,USA
Second To None,USA
Irwin Broh Research,USA
Touchstone Research inc,USA
Creative Consumer Research,USA
Horowitz Research,USA
Jackson Associates - Perimeter,USA
Market Probe International,USA
MarketVision Research,USA
Marketing Workshop,USA
MSW Research,USA
Opinion Search,USA
Orman Guidance Inc,USA
Behaviorally,USA
